rank_number,state_content,state_link/_text,population
1,California,California,38802500
2,Texas,Texas,26956958
3,Florida,Florida,19893297
4,New York,New York,19746227
5,Illinois,Illinois,12880580
6,Pennsylvania,Pennsylvania,12787209
7,Ohio,Ohio,11594163
8,Georgia,Georgia,10097343
9,North Carolina,North Carolina,9943964
10,Michigan,Michigan,9909877
11,New Jersey,New Jersey,8938175
12,Virginia,Virginia,8326289
13,Washington,Washington,7061530
14,Massachusetts,Massachusetts,6745408
15,Arizona,Arizona,6731484
16,Indiana,Indiana,6596855
17,Tennessee,Tennessee,6549352
18,Missouri,Missouri,6063589
19,Maryland,Maryland,5976407
20,Wisconsin,Wisconsin,5757564
21,Minnesota,Minnesota,5457173
22,Colorado,Colorado,5355866
23,Alabama,Alabama,4849377
24,South Carolina,South Carolina,4832482
25,Louisiana,Louisiana,4649676
26,Kentucky,Kentucky,4413457
27,Oregon,Oregon,3970239
28,Oklahoma,Oklahoma,3878051
29,Connecticut,Connecticut,3596677
30,Iowa,Iowa,3107126
31,Mississippi,Mississippi,2994179
32,Arkansas,Arkansas,2966369
33,Utah,Utah,2942902
34,Kansas,Kansas,2904021
35,Nevada,Nevada,2839099
36,New Mexico,New Mexico,2085572
37,Nebraska,Nebraska,1881503
38,West Virginia,West Virginia,1850326
39,Idaho,Idaho,1634464
40,Hawaii,Hawaii,1419561
41,Maine,Maine,1330089
42,New Hampshire,New Hampshire,1326813
43,Rhode Island,Rhode Island,1055173
44,Montana,Montana,1023579
45,Delaware,Delaware,935614
46,South Dakota,South Dakota,853175
47,North Dakota,North Dakota,739482
48,Alaska,Alaska,736732
50,Vermont,Vermont,626630
51,Wyoming,Wyoming,584153